web-scraper-order,web-scraper-start-url,local_listing,local_listing-href
"1587924577-6551","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","myhuckleberry.com","http://myhuckleberry.com/"
"1587924577-6547","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","makeitlocal.com","https://www.makeitlocal.com/"
"1587924577-6601","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","yellowbook.com","http://www.yellowbook.com/"
"1587924577-6493","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","cataloxy.us","https://www.cataloxy.com/"
"1587924577-6557","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","opendi.us","https://service.opendi.us/listings"
"1587924577-6592","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","yelp.com","https://www.yelp.com/"
"1587924577-6501","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","citysquares.com","http://citysquares.com/"
"1587924577-6524","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","Google My Business","https://www.google.com/business/"
"1587924577-6508","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","eBusinesspages","http://ebusinesspages.com/AddCompany.aspx"
"1587924577-6521","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","getfreelisting.com","http://getfreelisting.com/"
"1587924577-6563","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","salespider.com","https://www.salespider.com/"
"1587924577-6594","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","yellow.place","https://yellow.place/"
"1587924577-6473","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","2findlocal.com","http://www.2findlocal.com/"
"1587924577-6537","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","localbiziness.com","http://localbiziness.com/"
"1587924577-6558","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","pages24.com","https://www.pages24.com/"
"1587924577-6546","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","magicyellow.com","http://www.magicyellow.com/"
"1587924577-6600","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","Yellowpages","https://www.yellowpages.com/"
"1587924577-6504","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","companylist.org","https://companylist.org/"
"1587924577-6484","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","BizDays.com","http://bizdays.com/"
"1587924577-6528","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","hub.biz","https://hub.biz/business_registration/pick_domain"
"1587924577-6553","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","n49.com","https://www.n49.com/"
"1587924577-6483","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","Bizcommunity.com","http://advertise.bizcommunity.com/"
"1587924577-6579","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","tuugo.us","http://www.tuugo.us/"
"1587924577-6549","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","manta.com","https://www.manta.com/"
"1587924577-6509","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","eLocal","https://www.elocal.com/"
