web-scraper-order,web-scraper-start-url,local_listing,local_listing-href
"1587921757-6415","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Google Local Places","https://www.google.com/business"
"1587921757-6470","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","AreaConnect","http://www.areaconnect.com/"
"1587921757-6426","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Merchant Circle","http://www.merchantcircle.com/signup/"
"1587921757-6421","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","H1ad","https://www.h1ad.com/"
"1587921757-6430","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Insiderpages.com","http://www.insiderpages.com/"
"1587921757-6442","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Foursquare Pro","https://foursquare.com/"
"1587921757-6465","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","City Data","http://www.city-data.com/"
"1587921757-6461","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Topix","http://www.topix.com/"
"1587921757-6457","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Kudzu","https://register.kudzu.com/packageSelect.do"
"1587921757-6417","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Bing","https://www.bingplaces.com/"
"1587921757-6437","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Yellowbook","http://www.yellowbook.com/"
"1587921757-6462","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","UsCity.net","http://www.uscity.net/listmysite.html"
"1587921757-6434","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","YellowPages.com","http://www.yp.com/"
"1587921757-6443","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","ThinkLocal","http://www.thinklocal.com/Business-Signup.aspx"
"1587921757-6435","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Whitepages","http://www.whitepages.com/"
"1587921757-6438","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","CitySearch","http://boston.citysearch.com/"
"1587921757-6436","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Supermedia","https://www.supermedia.com/business-listings"
"1587921757-6445","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Allpages.com","http://www.allpages.com/"
"1587921757-6458","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","CityVoter","http://cityvoter.com/"
"1587921757-6441","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Local.com","http://local.com/"
"1587921757-6424","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Giganticlist.com","https://www.giganticlist.com/"
"1587921757-6448","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Dex","http://dexknows.whitepages.com/"
"1587921757-6451","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","hinkLocal","http://thinklocalwi.com/"
"1587921757-6418","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Freeadstime.org","https://www.freeadstime.org/"
"1587921757-6440","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Biznik","http://www.biznik.com/"
"1587921757-6449","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","BizJournals.com","http://businessdirectory.bizjournals.com/"
"1587921757-6431","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Foursquare","https://foursquare.com/business/"
"1587921757-6433","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","LinkedIn","http://www.linkedin.com/company/add/show"
"1587921757-6446","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","SuperPages","http://www.superpages.com/"
"1587921757-6453","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Metrobot","http://www.metrobot.com/loc/streetidx.htm"
"1587921757-6416","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Yelp","https://biz.yelp.com/"
"1587921757-6456","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","LocalEze","https://webapp.localeze.com/extranet/createaccount.aspx"
"1587921757-6454","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","EZ Local","http://ezlocal.com/"
"1587921757-6429","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Yext","https://listings.mapquest.com/apps/listing"
"1587921757-6459","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Manta","http://www.manta.com/claim"
"1587921757-6455","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","twitch.com","http://www.twitch.tv/"
"1587921757-6450","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","TeleAtlas","http://mapinsight.teleatlas.com/mapfeedback/index.php"
"1587921757-6439","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Mapquest","https://listings.mapquest.com/apps/listing"
"1587921757-6444","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","CitySlick","https://www.cityslick.net/reg.php"
"1587921757-6425","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Rectanglead.com","https://www.rectanglead.com/"
"1587921757-6419","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Findermaster","https://www.findermaster.com/"
"1587921757-6466","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Angieslist","https://business.angieslist.com/Registration/SimpleRegistration.aspx"
"1587921757-6468","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Get Fave","http://www.getfave.com/"
"1587921757-6463","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Local Site Submit","http://www.localsitesubmit.com/"
"1587921757-6420","https://www.backlinkfy.com/news/50-free-online-business-directories-listings-in-the-usa","Classifiedsfactor","https://www.classifiedsfactor.com/"
